title,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
HotelT3,"$4,726,875 ","$4,333,438 ","$6,755,090 ","$9,267,347 ","$7,743,272 ","$3,310,642 ","$5,360,662 ","$3,604,864 ","$2,942,356 ","$3,743,385 ","$4,865,330 ","$3,644,925 ","$1,870,542 ","$3,077,345 ","$2,253,664 ","$1,877,189 ","$2,438,242 ","$3,280,964 ","$2,285,365 "
SkyscraperMovie,"$2,329,420 ","$1,896,860 ","$3,164,480 ","$4,583,995 ","$3,611,555 ","$1,519,605 ","$2,355,480 ","$1,586,540 ","$1,138,985 ","$1,558,500 ","$2,201,395 ","$1,581,560 ","$701,280 ","$1,109,605 ","$782,975 ","$545,090 ","$650,245 ","$955,365 ","$642,075 "
Incredibles2,"$2,204,302 ","$2,093,667 ","$3,213,371 ","$4,726,762 ","$3,954,930 ","$1,819,687 ","$2,507,228 ","$1,950,083 ","$1,636,147 ","$2,151,107 ","$2,904,346 ","$2,201,660 ","$1,147,888 ","$1,667,541 ","$1,325,380 ","$1,110,720 ","$1,458,744 ","$2,061,807 ","$1,459,681 "
Blindspotting,$0 ,$0 ,"$143,178 ","$105,062 ","$90,759 ","$36,945 ","$33,989 ","$34,772 ","$24,279 ","$471,508 ","$471,039 ","$339,001 ","$170,677 ","$253,510 ","$190,813 ","$146,954 ","$194,778 ","$271,063 ","$198,008 "
MammaMia2,$0 ,$0 ,"$14,286,815 ","$10,937,980 ","$9,727,385 ","$4,906,510 ","$6,742,430 ","$4,865,225 ","$3,958,180 ","$4,784,820 ","$5,635,360 ","$4,679,915 ","$2,602,225 ","$3,866,650 ","$2,863,700 ","$2,387,355 ","$2,821,190 ","$3,476,580 ","$2,705,260 "
TheEqualizer2,$0 ,$0 ,"$13,375,850 ","$12,709,883 ","$9,925,907 ","$3,688,910 ","$5,002,719 ","$3,126,325 ","$2,401,751 ","$3,989,067 ","$5,743,517 ","$4,287,433 ","$1,575,933 ","$2,301,064 ","$1,545,485 ","$1,382,421 ","$2,418,734 ","$3,661,353 ","$2,675,820 "
UnfriendedMovie,$0 ,$0 ,"$1,401,070 ","$1,224,220 ","$1,027,745 ","$589,365 ","$741,280 ","$523,300 ","$386,450 ","$480,440 ","$552,180 ","$438,290 ","$279,010 ","$371,625 ","$276,080 ","$120,910 ","$65,390 ","$89,205 ","$69,350 "
MissionImpossible,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$22,803,458 ","$21,421,918 ","$17,011,158 ","$6,838,935 ","$9,451,166 ","$6,328,934 ","$5,631,802 ","$9,851,648 ","$14,731,942 ","$10,740,225 "
TeenTitansGOMovie,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,239,719 ","$3,498,956 ","$2,672,514 ","$1,189,426 ","$2,039,886 ","$1,249,517 ","$1,034,539 ","$1,427,537 ","$1,965,898 ","$1,383,340 "
ChristopherRobin,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$9,514,392 ","$8,643,041 ","$6,427,706 "
nevergoinback,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,280 ","$3,164 ","$2,878 "
TheSpyWhoDumpedMe,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,011,316 ","$4,101,508 ","$2,990,219 "
